seed,measurement_ratio,method,sample_id,rmse,mae,relative_l2,support_f1,lambda,cs_engine,m,val_score,ae_recon_train_rmse
7,0.3,pca_regression_ub,67,0.2926565520242894,0.23626869017262728,0.4496316565412194,,48.0,pca_mlp,38,,
7,0.3,ml_only,68,0.49637212067388725,0.3543337664247045,0.6158910541004192,,,none,38,,
7,0.3,mlp_concat_ub,68,0.2986650855883953,0.22446513491766895,0.3705791415849466,,,direct_ub,38,,
7,0.3,pca_regression_ub,68,0.26585384821276026,0.19749391785237114,0.3298674522455377,,48.0,pca_mlp,38,,
7,0.3,ml_only,69,0.2509835361717699,0.1921395870359652,0.4820123722694527,,,none,38,,
7,0.3,mlp_concat_ub,69,0.23637117935190408,0.17632526328543893,0.45394942884845124,,,direct_ub,38,,
7,0.3,pca_regression_ub,69,0.21258213163136877,0.16977201778152357,0.4082627057242746,,48.0,pca_mlp,38,,
7,0.3,ml_only,70,0.4227299839926149,0.3499500105215808,0.5143450250415903,,,none,38,,
7,0.3,mlp_concat_ub,70,0.2299247028193266,0.17966928865659573,0.2797545277302893,,,direct_ub,38,,
7,0.3,pca_regression_ub,70,0.1823582719839093,0.14538625195103727,0.2218793876039405,,48.0,pca_mlp,38,,
7,0.3,ml_only,71,0.47528292328300165,0.381172365144115,0.7531112803556432,,,none,38,,
7,0.3,mlp_concat_ub,71,0.2631855835920385,0.21318872839622993,0.4170316712854558,,,direct_ub,38,,
7,0.3,pca_regression_ub,71,0.2560470175938549,0.2066698292664762,0.405720230635201,,48.0,pca_mlp,38,,
7,0.3,ml_only,72,0.39849980803021756,0.2836380304076418,0.6073112437140779,,,none,38,,
7,0.3,mlp_concat_ub,72,0.29562522372759104,0.23363904183636297,0.4505310132587111,,,direct_ub,38,,
7,0.3,pca_regression_ub,72,0.3194793796279003,0.25112090614471155,0.4868845993725288,,48.0,pca_mlp,38,,
7,0.3,ml_only,73,0.37168466591894056,0.30042379108581235,0.5120989748301117,,,none,38,,
7,0.3,mlp_concat_ub,73,0.2792800149270104,0.2173436261038523,0.3847858748250078,,,direct_ub,38,,
7,0.3,pca_regression_ub,73,0.2744465559157128,0.21212695448948343,0.3781264410857944,,48.0,pca_mlp,38,,
7,0.3,ml_only,74,0.35912677998266324,0.26876253302813385,0.5777781255080031,,,none,38,,
7,0.3,mlp_concat_ub,74,0.25716876090873986,0.19965979312781756,0.4137438166661938,,,direct_ub,38,,
7,0.3,pca_regression_ub,74,0.2845023826704199,0.20054571495221465,0.4577192861245579,,48.0,pca_mlp,38,,
7,0.3,ml_only,75,0.3908401272317163,0.30577397393918065,0.5452148209444531,,,none,38,,
7,0.3,mlp_concat_ub,75,0.26910202506643466,0.21915751640810277,0.3753923975298507,,,direct_ub,38,,
7,0.3,pca_regression_ub,75,0.3155050693861354,0.2448600998546098,0.44012379468509677,,48.0,pca_mlp,38,,
7,0.3,ml_only,76,0.4428610927473371,0.3581127674825079,0.6371512639323195,,,none,38,,
7,0.3,mlp_concat_ub,76,0.35946286942190203,0.2775998372163997,0.5171649199709029,,,direct_ub,38,,
7,0.3,pca_regression_ub,76,0.3080787543190078,0.2210809736059642,0.4432377802423933,,48.0,pca_mlp,38,,
7,0.3,ml_only,77,0.33512997191469807,0.2534649148528461,0.45462149180882494,,,none,38,,
7,0.3,mlp_concat_ub,77,0.22874114887547292,0.17252601652102556,0.3102994391868393,,,direct_ub,38,,
7,0.3,pca_regression_ub,77,0.2480849842573572,0.1915360015202537,0.3365403726622104,,48.0,pca_mlp,38,,
7,0.3,ml_only,78,0.3437979543293345,0.26329071345458627,0.5222960227982267,,,none,38,,
7,0.3,mlp_concat_ub,78,0.2958168032239018,0.22810194751803003,0.44940331335632544,,,direct_ub,38,,
7,0.3,pca_regression_ub,78,0.2633689826004352,0.19613201020132898,0.40010875692661346,,48.0,pca_mlp,38,,
7,0.3,ml_only,79,0.3311267747426619,0.2547314889044671,0.49516428663934997,,,none,38,,
7,0.3,mlp_concat_ub,79,0.23093633910876626,0.1825567029225591,0.3453403238163525,,,direct_ub,38,,
7,0.3,pca_regression_ub,79,0.2145850936226795,0.16633558564071596,0.3208888042644366,,48.0,pca_mlp,38,,
7,0.3,ml_only,80,0.4218951419419607,0.33227665439721044,0.5941579922146,,,none,38,,
7,0.3,mlp_concat_ub,80,0.3014910801164235,0.2341098849416669,0.4245920775670566,,,direct_ub,38,,
7,0.3,pca_regression_ub,80,0.2828248869358273,0.23007035373632054,0.3983043421562548,,48.0,pca_mlp,38,,
7,0.3,ml_only,81,0.38220813526793507,0.3110137240937132,0.5262269993169374,,,none,38,,
7,0.3,mlp_concat_ub,81,0.23983272046953205,0.18719013308097007,0.3302034707927569,,,direct_ub,38,,
7,0.3,pca_regression_ub,81,0.27190562595872514,0.21296041155599177,0.3743616852774441,,48.0,pca_mlp,38,,
7,0.3,ml_only,82,0.3842054588284966,0.30018591215306445,0.5457041578607612,,,none,38,,
7,0.3,mlp_concat_ub,82,0.2935877229341374,0.22173303027023222,0.4169957438672107,,,direct_ub,38,,
7,0.3,pca_regression_ub,82,0.33082396637505346,0.2588232446745306,0.4698840420469977,,48.0,pca_mlp,38,,
7,0.3,ml_only,83,0.37781031464154696,0.28734847607527503,0.6047853651623623,,,none,38,,
7,0.3,mlp_concat_ub,83,0.2515507487022526,0.1934595329156792,0.4026735256158822,,,direct_ub,38,,
7,0.3,pca_regression_ub,83,0.2601359006905197,0.1928944791549052,0.41641633273094103,,48.0,pca_mlp,38,,
7,0.3,ml_only,84,0.461376463831116,0.3829546673264277,0.5947501230259166,,,none,38,,
7,0.3,mlp_concat_ub,84,0.2427919699516491,0.18543280001947732,0.3129777206218843,,,direct_ub,38,,
7,0.3,pca_regression_ub,84,0.23391802284676164,0.17517838607517844,0.3015385130634138,,48.0,pca_mlp,38,,
7,0.3,ml_only,85,0.4537652254656114,0.3603018351659043,0.6890316541460352,,,none,38,,
7,0.3,mlp_concat_ub,85,0.25350075308057074,0.2004121733568377,0.384934837267755,,,direct_ub,38,,
7,0.3,pca_regression_ub,85,0.2823042422911764,0.22192184768933002,0.42867224750142047,,48.0,pca_mlp,38,,
7,0.3,ml_only,86,0.4411552356437229,0.35028226441796184,0.6216359901641518,,,none,38,,
7,0.3,mlp_concat_ub,86,0.3080844715705838,0.2348169175264343,0.4341247254144526,,,direct_ub,38,,
7,0.3,pca_regression_ub,86,0.278665576922353,0.1894776376882858,0.3926702843773818,,48.0,pca_mlp,38,,
7,0.3,ml_only,87,0.43522593532998094,0.3550773293805981,0.6170552473103927,,,none,38,,
7,0.3,mlp_concat_ub,87,0.2835884606382825,0.22627432228829034,0.4020664521769704,,,direct_ub,38,,
7,0.3,pca_regression_ub,87,0.21775256113029276,0.1651564177372912,0.3087255366775205,,48.0,pca_mlp,38,,
7,0.3,ml_only,88,0.48820157799273556,0.3861344971554125,0.6559699433163777,,,none,38,,
7,0.3,mlp_concat_ub,88,0.28532652948029336,0.21453086116044917,0.38337775993962847,,,direct_ub,38,,
7,0.3,pca_regression_ub,88,0.29806478430260963,0.22927853693026493,0.4004934610565731,,48.0,pca_mlp,38,,
7,0.3,ml_only,89,0.45641485690825667,0.35211033252526286,0.6368321860699598,,,none,38,,
7,0.3,mlp_concat_ub,89,0.260273464232505,0.19090772034204606,0.363157589404468,,,direct_ub,38,,
7,0.3,pca_regression_ub,89,0.2903691272305256,0.21461295822252846,0.4051498395868646,,48.0,pca_mlp,38,,
7,0.3,ml_only,90,0.5148900128203657,0.41960181530367324,0.692612121253535,,,none,38,,
7,0.3,mlp_concat_ub,90,0.30825087123962364,0.2436522333321099,0.41464834137695933,,,direct_ub,38,,
7,0.3,pca_regression_ub,90,0.31470818375653753,0.24199073238944563,0.42333449338724716,,48.0,pca_mlp,38,,
7,0.3,ml_only,91,0.5535402410439614,0.4563397162850618,0.7282363044915366,,,none,38,,
7,0.3,mlp_concat_ub,91,0.2742946970041259,0.19941029833996954,0.3608614905958507,,,direct_ub,38,,
7,0.3,pca_regression_ub,91,0.34232026085397166,0.2668760176200291,0.450355770425509,,48.0,pca_mlp,38,,
7,0.3,ml_only,92,0.3711009820594216,0.2834890734770324,0.5646634678614844,,,none,38,,
7,0.3,mlp_concat_ub,92,0.2718805924564316,0.20823453316461626,0.4136907354130941,,,direct_ub,38,,
7,0.3,pca_regression_ub,92,0.2583552928037948,0.1905740769400375,0.3931107774638028,,48.0,pca_mlp,38,,
