seed,measurement_ratio,method,sample_id,rmse,mae,relative_l2,support_f1,m
7,0.3,hybrid_lfista_joint,59,0.3553330590304799,0.2794675421391264,0.5531011532616893,0.09022556390968692,38
7,0.3,ml_only_torch,60,0.44577956498520577,0.3359185694791379,0.5940955035834324,,38
7,0.3,hybrid_lfista_frozen,60,0.3717464837970654,0.27898030631504794,0.4954307730640758,0.09022556390968692,38
7,0.3,hybrid_lfista_joint,60,0.3716664532833206,0.2789729934246729,0.49532411548687866,0.09022556390968692,38
7,0.3,ml_only_torch,61,0.4313861564905728,0.33300379309632,0.6149446726054985,,38
7,0.3,hybrid_lfista_frozen,61,0.350926453090727,0.2819695152433585,0.5002486740883673,0.09022556390968692,38
7,0.3,hybrid_lfista_joint,61,0.35075393824205137,0.2818496865360072,0.5000027526893092,0.09022556390968692,38
7,0.3,ml_only_torch,62,0.4464316571719173,0.35898337228723615,0.6263561103180529,,38
7,0.3,hybrid_lfista_frozen,62,0.3907018840098049,0.30744867554751876,0.5481656787347348,0.09160305343502569,38
7,0.3,hybrid_lfista_joint,62,0.3906010452309577,0.3071771725343093,0.5480241991056062,0.09160305343502569,38
7,0.3,ml_only_torch,63,0.49355436438230216,0.39629550867083846,0.7277686151584826,,38
7,0.3,hybrid_lfista_frozen,63,0.42371430394359266,0.33266216516634906,0.624786233204113,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,63,0.4234469993491961,0.3324195507462182,0.6243920802829186,0.08955223880588327,38
7,0.3,ml_only_torch,64,0.41427273908047824,0.30848452563955686,0.6018795855794813,,38
7,0.3,hybrid_lfista_frozen,64,0.3612080662484276,0.2753617163376596,0.5247841354565589,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,64,0.3611572375679278,0.27527606781005787,0.5247102885864446,0.09022556390968692,38
7,0.3,ml_only_torch,65,0.47200946177826325,0.35812010002279665,0.6455115057953337,,38
7,0.3,hybrid_lfista_frozen,65,0.3982237124973579,0.3240844951869971,0.544603464788882,0.09022556390968692,38
7,0.3,hybrid_lfista_joint,65,0.39802038461418654,0.3242510350173856,0.5443253972951889,0.09022556390968692,38
7,0.3,ml_only_torch,66,0.5295507346922613,0.4388782359349519,0.7725515286975374,,38
7,0.3,hybrid_lfista_frozen,66,0.4337148524471326,0.36049911225789727,0.6327383767517143,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,66,0.4333305650664057,0.36000914216942964,0.6321777471765099,0.08955223880588327,38
7,0.3,ml_only_torch,67,0.5573846452005965,0.4513329952783617,0.8563545890863353,,38
7,0.3,hybrid_lfista_frozen,67,0.4876641051016358,0.39918311733344236,0.7492373497051975,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,67,0.48749548905227563,0.39903139947272503,0.7489782913889942,0.08955223880588327,38
7,0.3,ml_only_torch,68,0.48679441460286577,0.34627395782831094,0.6040071806066037,,38
7,0.3,hybrid_lfista_frozen,68,0.4071888932694867,0.30663338067095625,0.5052338482533157,0.09022556390968692,38
7,0.3,hybrid_lfista_joint,68,0.4069658563556118,0.3065750568566554,0.5049571074085575,0.09022556390968692,38
7,0.3,ml_only_torch,69,0.26320820775410914,0.2040273353515597,0.5054897805468848,,38
7,0.3,hybrid_lfista_frozen,69,0.21624789947717538,0.1712129954240615,0.41530279083303273,0.09090909090900273,38
7,0.3,hybrid_lfista_joint,69,0.21610584120994522,0.171151762769218,0.4150299687848915,0.09090909090900273,38
7,0.3,ml_only_torch,70,0.4767162962515136,0.40039285272370434,0.5800313784638057,,38
7,0.3,hybrid_lfista_frozen,70,0.39356666954641284,0.3269902193146167,0.4788613681752025,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,70,0.39328332557483675,0.32643054440399777,0.4785166172285598,0.08955223880588327,38
7,0.3,ml_only_torch,71,0.4707169943057114,0.3790371344465409,0.7458763210300533,,38
7,0.3,hybrid_lfista_frozen,71,0.37571537429101953,0.3012250173660766,0.5953411593816657,0.09022556390968692,38
7,0.3,hybrid_lfista_joint,71,0.3754645611170919,0.30117217484989095,0.5949437324569996,0.09090909090900273,38
7,0.3,ml_only_torch,72,0.4154300861385615,0.29950548429991725,0.6331128828797957,,38
7,0.3,hybrid_lfista_frozen,72,0.3548692928112446,0.2740962527273825,0.540818608265904,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,72,0.3547225930156906,0.27390705915930647,0.5405950386844508,0.08955223880588327,38
7,0.3,ml_only_torch,73,0.3852753897563963,0.317955535857365,0.530823975839107,,38
7,0.3,hybrid_lfista_frozen,73,0.3215965793993526,0.26415284172027353,0.44308870857533733,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,73,0.32110282125059747,0.26380278331279255,0.4424084194351697,0.09022556390968692,38
7,0.3,ml_only_torch,74,0.37646908417224145,0.27916938396048224,0.6056791469999893,,38
7,0.3,hybrid_lfista_frozen,74,0.30191138647208127,0.2320188087617524,0.4857276167312901,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,74,0.3017362954196606,0.23196572302575336,0.4854459229515456,0.08955223880588327,38
7,0.3,ml_only_torch,75,0.4056617326333491,0.32603326462059384,0.5658906890862359,,38
7,0.3,hybrid_lfista_frozen,75,0.3469413490132501,0.2744668765104876,0.48397682914564394,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,75,0.3467203248011314,0.2743193232332857,0.4836685044168394,0.08955223880588327,38
7,0.3,ml_only_torch,76,0.49633084246443054,0.4043754247414174,0.7140790391926035,,38
7,0.3,hybrid_lfista_frozen,76,0.43930284986895357,0.35928192535627673,0.6320319635817836,0.09160305343502569,38
7,0.3,hybrid_lfista_joint,76,0.43918284990452316,0.3594924654052876,0.6318593177335461,0.09022556390968692,38
7,0.3,ml_only_torch,77,0.34143787847022317,0.26460985609403964,0.4631784999214667,,38
7,0.3,hybrid_lfista_frozen,77,0.28838200437114075,0.2287552228942807,0.3912054069320832,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,77,0.28822707237964607,0.2287159860122777,0.3909952335098142,0.08955223880588327,38
7,0.3,ml_only_torch,78,0.375534676300852,0.284825981306655,0.5705102819397982,,38
7,0.3,hybrid_lfista_frozen,78,0.27979576482820717,0.2233027474999456,0.4250642370767927,0.09022556390968692,38
7,0.3,hybrid_lfista_joint,78,0.27967060627344376,0.22323199259564563,0.4248740968663902,0.08955223880588327,38
7,0.3,ml_only_torch,79,0.32882237147030297,0.2479412093551156,0.4917183007224039,,38
7,0.3,hybrid_lfista_frozen,79,0.28978381582698814,0.2268547211179213,0.43334036202633985,0.09160305343502569,38
7,0.3,hybrid_lfista_joint,79,0.2896638498534711,0.2268830080911686,0.43316096588495634,0.08955223880588327,38
7,0.3,ml_only_torch,80,0.40352762073389775,0.33275984549369964,0.5682908787116835,,38
7,0.3,hybrid_lfista_frozen,80,0.37444400767710745,0.3106310242730673,0.5273322152375588,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,80,0.37437846935401686,0.3106016207022607,0.5272399171412085,0.08955223880588327,38
7,0.3,ml_only_torch,81,0.38944692987608537,0.3118492381928757,0.5361934254963494,,38
7,0.3,hybrid_lfista_frozen,81,0.3165786393638678,0.25226237422673237,0.4358678219224789,0.09090909090900273,38
7,0.3,hybrid_lfista_joint,81,0.31639606737642184,0.2519863386222836,0.43561645545419153,0.09022556390968692,38
