measurement_ratio,method,rmse_mean,rmse_std_across_seeds,rmse_sem,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,n_seeds,n_test_samples_per_run,rmse_ci95_half,bg_type,run_id
0.15,hybrid_lfista_joint,0.0582426920481341,0.00737121744734,0.004255774377477,0.0442834005163851,0.0060076641392433,0.8837289239494597,0.109379079287334,0.5564389232433348,0.027116647992992,3,385,0.0083413177798549,shallow,prod_bg_shallow_dct
0.15,ml_only,0.0171679260496875,0.0003281624469694,0.0001894646770957,0.0137980133903988,0.0002613669422375,0.2294784880089471,0.0061311834848896,,,3,385,0.0003713507671076,shallow,prod_bg_shallow_dct
0.15,mlp_concat_ub,0.0793412273613244,0.007420772297109,0.0042843848833308,0.0647530546048554,0.0059077553081599,1.0191369264782943,0.1219645543259334,,,3,385,0.0083973943713284,shallow,prod_bg_shallow_dct
0.15,pca_regression_ub,0.0755008076399995,0.0142465642327012,0.0082252576947773,0.0612561848867216,0.0122404987959072,1.0173267896758122,0.2414597922068923,,,3,385,0.0161215050817636,shallow,prod_bg_shallow_dct
0.2,ae_regression_ub,0.0138720923661888,0.0008174260273577,0.0004719411369375,0.011269257964649,0.000649153177234,0.1834600401061288,0.0140788904630073,,,3,385,0.0009250046283976,shallow,prod_bg_shallow_dct
0.2,hybrid_lfista_joint,0.0591927063859155,0.0080075588403983,0.0046231662520557,0.0439768081295463,0.0065092106642918,0.8997856007650347,0.1134180482574561,0.516843716457153,0.0105670600805981,3,385,0.0090614058540292,shallow,prod_bg_shallow_dct
0.2,ml_only,0.0171679260496875,0.0003281624469694,0.0001894646770957,0.0137980133903988,0.0002613669422375,0.2294784880089471,0.0061311834848896,,,3,385,0.0003713507671076,shallow,prod_bg_shallow_dct
0.2,mlp_concat_ub,0.0846377343111248,0.0044339869123803,0.002559963537446,0.0689024811316596,0.0035046252892609,1.1234326904233864,0.0658581232594249,,,3,385,0.0050175285333942,shallow,prod_bg_shallow_dct
0.2,pca_regression_ub,0.0758728737880228,0.0081093102485916,0.0046819124549665,0.0612730493036141,0.0065408275669991,1.0307176321567932,0.0975476211091397,,,3,385,0.0091765484117344,shallow,prod_bg_shallow_dct
0.3,ae_regression_ub,0.013728902764155,0.0005130281603749,0.0002961969464943,0.0111530464407307,0.0004228489093425,0.1805692830271991,0.0058083081965,,,3,385,0.0005805460151288,shallow,prod_bg_shallow_dct
