Depth(m),HFU,phi_input,alpha_hfu,matrix_k_gpa,matrix_g_gpa,matrix_rho_gcc,param_source,alpha,dem_k_gpa,dem_g_gpa,sc_k_gpa,sc_g_gpa,rho_gcc,vp_dem_m_s,vs_dem_m_s,vpvs_dem,vp_dem_km_s,vs_dem_km_s,vp_sc_m_s,vs_sc_m_s,vpvs_sc,vp_sc_km_s,vs_sc_km_s,vp_rel_diff_dem_sc,vpvs_rel_diff_dem_sc,kf_gpa,rho_fluid_gcc,sw,k_sat_gpa,g_sat_gpa,rho_sat_gcc,vp_dem_dry_km_s,vs_dem_dry_km_s,vpvs_dem_dry,status,error
5217.910000,2,0.141000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,0.150000,26.681511,17.521336,44.414648,21.937614,2.376294,4684.481657,2636.040503,1.777090,4.684482,2.636041,5567.752747,3038.397759,1.832463,5.567753,3.038398,0.213269,0.084291,2.200000,1.030000,1.000000,31.971465,17.521336,2.521524,4.589051,2.715398,1.690010,ok,
5218.290000,2,0.181000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,0.150000,20.803218,14.766796,38.182061,19.589069,2.265640,4327.381972,2454.012188,1.763391,4.327382,2.454012,5327.369528,2940.434212,1.811763,5.327370,2.940434,0.260150,0.094103,2.200000,1.030000,1.000000,26.228974,14.766796,2.452070,4.227569,2.552982,1.655934,ok,
5218.480000,3,0.183000,0.177836,68.885679,29.758722,2.754277,m3_hier_joint_vp_vs,0.177836,23.732360,15.729547,37.752915,19.266112,2.250244,4504.213390,2539.661666,1.773549,4.504213,2.539662,5309.704984,2926.053072,1.814630,5.309705,2.926053,0.191261,0.076385,2.200000,1.030000,1.000000,28.504162,15.729547,2.438734,4.457216,2.643889,1.685856,ok,
5218.670000,4,0.158000,0.169460,69.079982,30.011709,2.760313,m3_hier_global_hfu4,0.169460,26.572287,17.182017,41.791240,20.892877,2.324184,4673.091615,2628.487099,1.777864,4.673092,2.628487,5474.196579,2998.222868,1.825814,5.474197,2.998223,0.186407,0.075899,2.200000,1.030000,1.000000,31.399547,17.182017,2.486924,4.614098,2.718954,1.697012,ok,
5218.860000,2,0.137000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,0.150000,27.527419,17.887149,45.055138,22.171490,2.387359,4731.271816,2659.755554,1.778837,4.731272,2.659756,5590.625140,3047.463825,1.834517,5.590625,3.047464,0.205133,0.082451,2.200000,1.030000,1.000000,32.750082,17.887149,2.528469,4.639010,2.737232,1.694781,ok,
5219.050000,1,0.127000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,33.651843,20.269401,47.959936,23.496932,2.421553,5046.840178,2818.053703,1.790896,5.046840,2.818054,5722.160009,3115.004076,1.836967,5.722160,3.115004,0.143121,0.061713,2.200000,1.030000,1.000000,37.984331,20.269401,2.552363,5.005732,2.893167,1.730191,ok,
5219.240000,2,0.124000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,0.150000,30.237704,19.013502,47.158313,22.930408,2.423322,4874.189929,2730.060526,1.785378,4.874190,2.730061,5663.630511,3076.099294,1.841173,5.663631,3.076099,0.182513,0.076790,2.200000,1.030000,1.000000,35.255618,19.013502,2.551042,4.789488,2.801080,1.709872,ok,
5219.620000,2,0.170000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,0.150000,22.835994,15.764120,39.864744,20.236733,2.296070,4459.370168,2525.710570,1.765590,4.459370,2.525711,5395.710098,2968.777658,1.817485,5.395710,2.968778,0.234618,0.089675,2.200000,1.030000,1.000000,28.122810,15.764120,2.471170,4.370349,2.620248,1.667915,ok,
5219.810000,1,0.196000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,22.839321,15.548286,36.946765,19.311443,2.230159,4458.644101,2528.459666,1.763384,4.458644,2.528460,5302.123257,2942.656038,1.801815,5.302123,2.942656,0.199560,0.076356,2.200000,1.030000,1.000000,27.616680,15.548286,2.432039,4.420056,2.640422,1.673996,ok,
5220.200000,1,0.193000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,23.482472,15.860148,37.405949,19.494592,2.238480,4499.806969,2550.949078,1.763974,4.499807,2.550949,5321.863078,2951.076477,1.803363,5.321863,2.951076,0.191873,0.075045,2.200000,1.030000,1.000000,28.203620,15.860148,2.437270,4.465125,2.661810,1.677477,ok,
