seed,measurement_ratio,method,sample_id,rmse,mae,relative_l2,support_f1,lambda,cs_engine,m,val_score,ae_recon_train_rmse,method_label
41,0.1,ae_regression_ub,12,0.009195119201922897,0.007402536155838519,0.18249469670465263,,32.0,ae_mlp,6,,,"AE [u,b]"
41,0.1,ml_only,13,0.02121625855641448,0.01798588465645313,0.4017014397877135,,,none,6,,,ML only
41,0.1,mlp_concat_ub,13,0.21831974505169044,0.1783934941936527,4.133591966187447,,,direct_ub,6,,,"MLP [u,b]"
41,0.1,pca_regression_ub,13,0.1271363485714405,0.09141151246408592,2.4071564802390477,,8.0,pca_mlp,6,,,"PCA [u,b]"
41,0.1,ae_regression_ub,13,0.01112834596959422,0.008595636246216893,0.21070032619348256,,32.0,ae_mlp,6,,,"AE [u,b]"
41,0.1,ml_only,14,0.017202409628237957,0.014073603289402494,0.3237323392042125,,,none,6,,,ML only
41,0.1,mlp_concat_ub,14,0.10215657544198947,0.08476823148211213,1.9224857358727108,,,direct_ub,6,,,"MLP [u,b]"
41,0.1,pca_regression_ub,14,0.11262452334166105,0.08671543164327475,2.1194821644815103,,8.0,pca_mlp,6,,,"PCA [u,b]"
41,0.1,ae_regression_ub,14,0.009600880804037556,0.007390803224577456,0.18067908323784415,,32.0,ae_mlp,6,,,"AE [u,b]"
41,0.1,ml_only,15,0.01702851105278857,0.014116047234805586,0.3157059849996357,,,none,6,,,ML only
41,0.1,mlp_concat_ub,15,0.13718694667885206,0.10807086049146555,2.5434249651114964,,,direct_ub,6,,,"MLP [u,b]"
41,0.1,pca_regression_ub,15,0.18419083194068908,0.15387333600336406,3.41486979369315,,8.0,pca_mlp,6,,,"PCA [u,b]"
41,0.1,ae_regression_ub,15,0.013892590747272218,0.011522711329437642,0.25756650317034974,,32.0,ae_mlp,6,,,"AE [u,b]"
41,0.1,ml_only,16,0.01960102526646034,0.01460986190673624,0.3610824175254045,,,none,6,,,ML only
41,0.1,mlp_concat_ub,16,0.13966663979560384,0.11645163586644357,2.572884186386932,,,direct_ub,6,,,"MLP [u,b]"
41,0.1,pca_regression_ub,16,0.061273024677015724,0.05037698282322781,1.128747684302434,,8.0,pca_mlp,6,,,"PCA [u,b]"
41,0.1,ae_regression_ub,16,0.014883319987187614,0.01054783573829621,0.2741746969212678,,32.0,ae_mlp,6,,,"AE [u,b]"
41,0.1,ml_only,17,0.01975654084632773,0.015768272282827674,0.3633331667874969,,,none,6,,,ML only
