Depth(m),HFU,has_cmr,vp_m3_dry_km_s,vs_m3_dry_km_s,vp_m3_km_s,vs_m3_km_s,vpvs_m3,k_dry_gpa,g_dry_gpa,k_sat_gpa,g_sat_gpa,rho_sat_gcc,phi_input,f_macro_nmr,f_micro_nmr,ar_meso_hfu,ar_micro_hfu,vp_m1_km_s,vp_sonic_km_s,vp_m1_rel_error_pct,vp_m3_rel_error_pct,vp_m1_abs_rel_error_pct,vp_m3_abs_rel_error_pct,status
5230.480000,4,True,4.437696,2.735719,4.567950,2.636812,1.732376,22.255956,17.146660,28.597083,17.146660,2.466160,0.170000,0.644884,0.355116,0.550000,0.050000,5.832461,4.264201,36.777347,7.123227,36.777347,7.123227,ok
5230.860000,3,True,5.072638,2.784120,4.955541,2.675055,1.852501,34.688428,17.463718,36.646332,17.463718,2.440459,0.182000,0.549712,0.450288,0.614844,0.569000,4.956434,4.300251,15.259179,15.238417,15.259179,15.238417,ok
5231.050000,4,True,3.944323,2.498663,4.163362,2.402832,1.732690,16.392147,14.148710,23.612514,14.148710,2.450587,0.179000,0.523930,0.476070,0.550000,0.050000,5.778885,4.331136,33.426542,-3.873663,33.426542,3.873663,ok
5231.240000,3,True,5.114296,2.799418,5.006241,2.697997,1.855540,35.907074,17.915177,37.795549,17.915177,2.461150,0.170000,0.633339,0.366661,0.614844,0.569000,5.012167,4.293632,16.734899,16.596888,16.734899,16.596888,ok
5231.440000,3,True,5.104688,2.794590,4.998034,2.693344,1.855698,35.764951,17.853435,37.675803,17.853435,2.461150,0.170000,0.776754,0.223246,0.614844,0.569000,5.012167,4.207156,19.134327,18.798410,19.134327,18.798410,ok
5232.200000,1,True,5.191314,2.838611,5.109511,2.757172,1.853171,38.704533,19.243970,40.429859,19.243970,2.531437,0.139000,0.695471,0.304529,0.554259,0.512500,5.142622,4.679668,9.892881,9.185336,9.892881,9.185336,ok
5232.770000,2,True,4.688000,2.702729,4.791217,2.651991,1.806649,30.671449,18.307971,35.346247,18.307971,2.603132,0.094000,0.827645,0.172355,0.553722,0.034000,4.937269,5.024264,-1.731497,-4.638433,1.731497,4.638433,ok
5232.960000,3,True,5.253255,2.849847,5.173730,2.772763,1.865912,40.133293,19.438851,41.760336,19.438851,2.528397,0.131000,0.815827,0.184173,0.614844,0.569000,5.193546,4.955069,4.812789,4.412867,4.812789,4.412867,ok
5233.150000,2,True,4.148744,2.489125,4.282453,2.412335,1.775231,21.097080,14.602924,26.549773,14.602924,2.509369,0.148000,0.815829,0.184171,0.553722,0.034000,4.502720,4.869428,-7.530823,-12.054289,7.530823,12.054289,ok
5233.340000,2,True,4.185147,2.507774,4.341754,2.439656,1.779658,21.923393,15.100921,27.692837,15.100921,2.537151,0.132000,0.790947,0.209053,0.553722,0.034000,4.627484,4.678256,-1.085276,-7.192892,1.085276,7.192892,ok
5233.720000,2,True,4.257101,2.532754,4.372898,2.457563,1.779364,22.687677,15.208058,27.873364,15.208058,2.518051,0.143000,0.830650,0.169350,0.553722,0.034000,4.541372,4.684132,-3.047736,-6.644427,3.047736,6.644427,ok
