Depth(m),HFU,phi_input,alpha_hfu,matrix_k_gpa,matrix_g_gpa,matrix_rho_gcc,param_source,alpha,dem_k_gpa,dem_g_gpa,sc_k_gpa,sc_g_gpa,rho_gcc,vp_dem_m_s,vs_dem_m_s,vpvs_dem,vp_dem_km_s,vs_dem_km_s,vp_sc_m_s,vs_sc_m_s,vpvs_sc,vp_sc_km_s,vs_sc_km_s,vp_rel_diff_dem_sc,vpvs_rel_diff_dem_sc,kf_gpa,rho_fluid_gcc,sw,k_sat_gpa,g_sat_gpa,rho_sat_gcc,vp_dem_dry_km_s,vs_dem_dry_km_s,vpvs_dem_dry,status,error
5218.670000,4,0.158000,0.167804,68.587774,29.797870,2.760313,m3_hier_global_hfu4,0.167804,26.203491,17.001209,41.493469,20.744011,2.324184,4648.328805,2614.620638,1.777822,4.648329,2.614621,5454.659361,2987.522315,1.825814,5.454659,2.987522,0.189526,0.076880,2.200000,1.030000,1.000000,31.066581,17.001209,2.486924,4.585575,2.704610,1.695466,ok,
5218.860000,2,0.137000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,0.167236,29.681640,18.599307,45.235667,22.260328,2.387359,4840.085447,2712.186488,1.784570,4.840085,2.712186,5601.814349,3053.563091,1.834517,5.601814,3.053563,0.172644,0.071886,2.200000,1.030000,1.000000,34.433923,18.599307,2.528469,4.777080,2.791191,1.711485,ok,
5219.050000,1,0.127000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,31.973639,19.667038,47.405185,23.225144,2.421553,4960.914095,2775.864593,1.787160,4.960914,2.775865,5688.969699,3096.936082,1.836967,5.688970,3.096936,0.160467,0.067881,2.200000,1.030000,1.000000,36.592636,19.667038,2.552363,4.902312,2.849853,1.720198,ok,
5219.240000,2,0.124000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,0.167236,32.394589,19.686267,47.347269,23.022286,2.423322,4976.604258,2777.940265,1.791473,4.976604,2.777940,5674.965834,3082.255871,1.841173,5.674966,3.082256,0.153615,0.066764,2.200000,1.030000,1.000000,36.932249,19.686267,2.551042,4.919289,2.850205,1.725942,ok,
5219.620000,2,0.170000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,0.167236,24.932266,16.538611,40.024476,20.317819,2.296070,4580.504734,2587.010722,1.770578,4.580505,2.587011,5406.509199,2974.719440,1.817485,5.406509,2.974719,0.195186,0.078317,2.200000,1.030000,1.000000,29.796188,16.538611,2.471170,4.523570,2.683842,1.685483,ok,
5219.810000,1,0.196000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,21.328840,14.903778,36.519402,19.088068,2.230159,4359.220250,2475.500169,1.760945,4.359220,2.475500,5271.369291,2925.587717,1.801815,5.271369,2.925588,0.226422,0.083695,2.200000,1.030000,1.000000,26.343841,14.903778,2.432039,4.298170,2.585118,1.662659,ok,
5220.200000,1,0.193000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,21.955677,15.216742,36.973275,19.269098,2.238480,4400.937652,2498.670695,1.761312,4.400938,2.498671,5290.994615,2933.959315,1.803363,5.290995,2.933959,0.217946,0.082326,2.200000,1.030000,1.000000,26.916670,15.216742,2.437270,4.344195,2.607259,1.666192,ok,
5220.580000,1,0.165000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,26.113726,17.182181,41.294762,20.953502,2.316147,4653.153467,2628.936493,1.769976,4.653153,2.628936,5467.298153,3007.774227,1.817722,5.467298,3.007774,0.188378,0.076132,2.200000,1.030000,1.000000,30.918997,17.182181,2.486097,4.600639,2.723680,1.689126,ok,
5220.770000,1,0.118000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,33.885110,20.415220,48.893630,23.760870,2.446517,5053.231972,2819.516774,1.792233,5.053232,2.819517,5738.857710,3116.427539,1.841486,5.738858,3.116428,0.148312,0.064402,2.200000,1.030000,1.000000,38.355441,20.415220,2.568057,4.997648,2.888703,1.730066,ok,
5221.150000,1,0.074000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,44.121921,23.992669,56.396818,26.368082,2.568566,5489.447200,3011.924192,1.822572,5.489447,3.011924,5970.269612,3204.010508,1.863374,5.970270,3.204011,0.096762,0.046194,2.200000,1.030000,1.000000,47.707827,23.992669,2.644786,5.443543,3.056286,1.781098,ok,
