depth_m,tdep,dtco_usft,dtsm_usft,vp_sonic_km_s,vs_sonic_km_s,vpvs_sonic_calc,vpvs_sonic_dlis,sphi,itt
5226.710400,2057760.000000,72.830261,122.242126,4.185074,2.493412,1.678452,1.678452,0.144431,0.103238
5226.862800,2057820.000000,74.957809,125.178154,4.066287,2.434930,1.669981,1.669981,0.158071,0.103202
5227.015200,2057880.000000,74.360176,124.844398,4.098968,2.441439,1.678915,1.678915,0.154318,0.103164
5227.167600,2057940.000000,72.117416,123.056526,4.226441,2.476910,1.706336,1.706336,0.139680,0.103127
5227.320000,2058000.000000,66.613846,119.252220,4.575625,2.555927,1.790202,1.790202,0.099584,0.103091
5227.472400,2058060.000000,64.435738,113.989136,4.730294,2.673939,1.769036,1.769036,0.081823,0.103058
5227.624800,2058120.000000,61.088211,108.230362,4.989506,2.816215,1.771706,1.771706,0.052058,0.103025
5227.777200,2058180.000000,59.493111,106.783669,5.123282,2.854369,1.794891,1.794891,0.036697,0.102995
5227.929600,2058240.000000,59.490585,107.706718,5.123500,2.829907,1.810483,1.810483,0.036672,0.102965
5228.082000,2058300.000000,60.399864,106.884834,5.046369,2.851667,1.769620,1.769620,0.045528,0.102935
5228.234400,2058360.000000,61.796459,106.483604,4.932321,2.862412,1.723134,1.723134,0.058625,0.102905
5228.386800,2058420.000000,62.026382,107.698563,4.914038,2.830121,1.736335,1.736335,0.060724,0.102874
5228.539200,2058480.000000,60.851219,109.898903,5.008938,2.773458,1.806026,1.806026,0.049827,0.102843
5228.691600,2058540.000000,60.551140,110.416550,5.033762,2.760456,1.823526,1.823526,0.046976,0.102813
5228.844000,2058600.000000,60.789574,107.694527,5.014018,2.830227,1.771595,1.771595,0.049243,0.102783
5228.996400,2058660.000000,61.253189,105.768867,4.976067,2.881755,1.726749,1.726749,0.053601,0.102752
5229.148800,2058720.000000,61.426743,107.386696,4.962008,2.838340,1.748208,1.748208,0.055216,0.102721
5229.301200,2058780.000000,63.005135,112.809662,4.837701,2.701896,1.790484,1.790484,0.069490,0.102691
5229.453600,2058840.000000,67.241806,118.474998,4.532894,2.572695,1.761925,1.761925,0.104490,0.102659
5229.606000,2058900.000000,67.889908,121.801445,4.489622,2.502433,1.794102,1.794102,0.109459,0.102626
5229.758400,2058960.000000,69.246704,124.814461,4.401654,2.442025,1.802461,1.802461,0.119561,0.102592
5229.910800,2059020.000000,69.919144,129.070129,4.359321,2.361507,1.845991,1.845991,0.124422,0.102557
5230.063200,2059080.000000,70.283737,129.330338,4.336707,2.356756,1.840118,1.840118,0.127019,0.102522
5230.215600,2059140.000000,71.100494,129.390366,4.286890,2.355662,1.819824,1.819824,0.132739,0.102487
5230.368000,2059200.000000,71.055923,130.254349,4.289579,2.340037,1.833124,1.833124,0.132430,0.102451
5230.520400,2059260.000000,71.478813,130.501282,4.264201,2.335609,1.825734,1.825734,0.135344,0.102416
5230.672800,2059320.000000,71.311722,131.242752,4.274192,2.322414,1.840409,1.840409,0.134197,0.102380
5230.825200,2059380.000000,70.879578,132.847397,4.300251,2.294362,1.874269,1.874269,0.131205,0.102344
5230.977600,2059440.000000,70.374146,133.442856,4.331136,2.284124,1.896191,1.896191,0.127658,0.102309
5231.130000,2059500.000000,70.017334,134.325348,4.353208,2.269118,1.918458,1.918458,0.125124,0.102274
5231.282400,2059560.000000,70.988846,133.679184,4.293632,2.280086,1.883101,1.883101,0.131965,0.102239
5231.434800,2059620.000000,72.447990,132.153366,4.207156,2.306411,1.824114,1.824114,0.141895,0.102203
5231.587200,2059680.000000,72.450798,129.354568,4.206993,2.356314,1.785413,1.785413,0.141914,0.102167
5231.739600,2059740.000000,72.910675,125.515594,4.180458,2.428384,1.721498,1.721498,0.144961,0.102131
5231.892000,2059800.000000,71.063705,121.856804,4.289109,2.501297,1.714754,1.714754,0.132484,0.102094
5232.044400,2059860.000000,69.395233,115.554520,4.392233,2.637716,1.665165,1.665165,0.120643,0.102059
5232.196800,2059920.000000,65.132828,111.681618,4.679668,2.729187,1.714675,1.714675,0.087637,0.102024
5232.349200,2059980.000000,60.592155,109.814896,5.030354,2.775580,1.812362,1.812362,0.047367,0.101992
5232.501600,2060040.000000,59.936962,103.634377,5.085343,2.941109,1.729056,1.729056,0.041053,0.101961
5232.654000,2060100.000000,60.364777,101.894028,5.049302,2.991343,1.687972,1.687972,0.045192,0.101931
5232.806400,2060160.000000,60.665604,103.970291,5.024264,2.931607,1.713826,1.713826,0.048067,0.101901
5232.958800,2060220.000000,61.512760,108.708717,4.955069,2.803823,1.767255,1.767255,0.056012,0.101871
5233.111200,2060280.000000,62.594627,110.314148,4.869428,2.763018,1.762358,1.762358,0.065847,0.101840
5233.263600,2060340.000000,64.931244,112.352409,4.694196,2.712892,1.730329,1.730329,0.085968,0.101809
5233.416000,2060400.000000,65.152481,110.835915,4.678256,2.750011,1.701177,1.701177,0.087799,0.101776
5233.568400,2060460.000000,65.070755,110.136131,4.684132,2.767484,1.692560,1.692560,0.087124,0.101744
